	pater	mater	filius	filia
plautus.menaechmi.tess	13	2	0	4
plautus.mercator.tess	31	5	4	0
plautus.miles_gloriosus.tess	1	2	0	0
plautus.mostellaria.tess	17	0	6	0
plautus.persa.tess	14	1	0	1
plautus.poenulus.tess	16	2	3	0
plautus.pseudolus.tess	3	0	2	0
plautus.rudens.tess	5	3	0	5
plautus.stichus.tess	15	1	0	0
plautus.trinummus.tess	25	0	6	1
plautus.truculentus.tess	4	3	2	1
pliny_the_elder.naturalis_historia.part.1.books_1-5.tess	2	2	0	1
pliny_the_elder.naturalis_historia.part.2.books_6-10.tess	7	7	20	5
pliny_the_elder.naturalis_historia.part.3.books_11-15.tess	1	0	3	1
pliny_the_elder.naturalis_historia.part.4.books_16-20.tess	1	1	0	0
pliny_the_elder.naturalis_historia.part.5.books_21-25.tess	1	1	0	1
pliny_the_elder.naturalis_historia.part.6.books_26-30.tess	0	0	0	1
pliny_the_elder.naturalis_historia.part.7.books_31-37.tess	9	4	13	6
pliny_the_younger.letters.part.1.tess	2	0	0	0
pliny_the_younger.letters.part.10.tess	1	1	1	0
pliny_the_younger.letters.part.2.tess	7	1	0	0
pliny_the_younger.letters.part.3.tess	2	0	5	1
pliny_the_younger.letters.part.4.tess	2	0	2	1
pliny_the_younger.letters.part.5.tess	2	2	0	1
pliny_the_younger.letters.part.6.tess	2	5	0	0
pliny_the_younger.letters.part.7.tess	1	2	0	0
pliny_the_younger.letters.part.8.tess	2	1	0	1
pliny_the_younger.letters.part.9.tess	2	1	3	0
polignac.antilucretius.tess	13	6	3	5
polignac.epia.tess	15	1	4	1
polignac.imitatio.tess	6	3	0	0
priscian.carmen_in_laudem_Anastasii_imperatoris.part.1.tess	2	0	0	0
priscian.carmen_in_laudem_Anastasii_imperatoris.part.preface.tess	0	0	0	0
priscian.carmen_in_laudem_Anastasii_imperatoris.tess	2	0	0	0
priscian.perihegesis.tess	0	1	1	0
propertius.elegies.tess	9	10	2	3
prudentius.apotheosis.tess	21	2	22	0
prudentius.contra_symmachum.part.1.tess	0	1	0	0
prudentius.contra_symmachum.part.2.tess	1	0	0	0
prudentius.dittochaeon.tess	0	0	0	0
prudentius.epilogus.tess	0	0	0	0
prudentius.hamartigenia.tess	11	2	3	0
prudentius.psychomachia.tess	1	1	2	0
pseudo_cicero.in_sallustium.tess	0	0	0	0
pseudo_quintilian.major_declamations.tess	193	108	83	0
q_cicero.on_running_for_consul.tess	0	0	0	0
quintilian.institutio_oratoria.part.1.tess	2	0	0	1
quintilian.institutio_oratoria.part.10.tess	0	0	0	0
quintilian.institutio_oratoria.part.11.tess	5	2	1	1
quintilian.institutio_oratoria.part.12.tess	0	0	0	0
quintilian.institutio_oratoria.part.2.tess	1	0	0	0
quintilian.institutio_oratoria.part.3.tess	2	1	5	0
quintilian.institutio_oratoria.part.4.tess	5	2	5	0
quintilian.institutio_oratoria.part.5.tess	5	1	4	1
quintilian.institutio_oratoria.part.6.tess	2	0	2	0
quintilian.institutio_oratoria.part.7.tess	15	0	9	0
quintilian.institutio_oratoria.part.8.tess	3	1	0	0
quintilian.institutio_oratoria.part.9.tess	10	3	2	0
rutilius.de_reditu.tess	3	0	1	0
sallust.catilina.tess	0	0	1	0
sallust.histories.tess	0	0	1	0
sallust.jugurtha.tess	6	0	7	1
scriptores_historiae_augustae.historia_augusta.part.1.books_1-5.tess	12	5	8	8
scriptores_historiae_augustae.historia_augusta.part.2.books_6-10.tess	7	5	5	3
scriptores_historiae_augustae.historia_augusta.part.3.books_11-15.tess	6	1	8	1
scriptores_historiae_augustae.historia_augusta.part.4.books_16-21.tess	18	14	12	3
seneca.ad_lucilium_epistulae_morales.part.1.1-10.tess	0	0	0	0
seneca.ad_lucilium_epistulae_morales.part.10.91-100.tess	1	0	2	0
seneca.ad_lucilium_epistulae_morales.part.11.101-110.tess	1	0	0	0
seneca.ad_lucilium_epistulae_morales.part.12.111-120.tess	0	1	1	0
seneca.ad_lucilium_epistulae_morales.part.13.121-124.tess	0	0	0	0
seneca.ad_lucilium_epistulae_morales.part.2.11-20.tess	0	0	1	0
seneca.ad_lucilium_epistulae_morales.part.3.21-30.tess	1	0	0	0
seneca.ad_lucilium_epistulae_morales.part.4.31-40.tess	0	0	0	0
seneca.ad_lucilium_epistulae_morales.part.5.41-50.tess	0	1	0	0
seneca.ad_lucilium_epistulae_morales.part.6.51-60.tess	0	1	0	0
seneca.ad_lucilium_epistulae_morales.part.7.61-70.tess	0	0	0	0
seneca.ad_lucilium_epistulae_morales.part.8.71-80.tess	0	0	0	0
seneca.ad_lucilium_epistulae_morales.part.9.81-90.tess	0	0	0	0
seneca.agamemnon.tess	2	0	0	0
seneca.apocolocyntosis.tess	1	0	1	2
seneca.de_beneficiis.part.1.tess	0	0	0	0
seneca.de_beneficiis.part.2.tess	1	0	0	0
seneca.de_beneficiis.part.3.tess	11	0	4	0
seneca.de_beneficiis.part.4.tess	2	0	1	0
seneca.de_beneficiis.part.5.tess	4	0	3	0
seneca.de_beneficiis.part.6.tess	1	0	0	0
seneca.de_beneficiis.part.7.tess	0	0	0	0
seneca.de_brevitate_vitae.tess	0	0	0	1
seneca.de_clementia.tess	5	0	0	0
seneca.de_consolatione_ad_helviam.tess	2	6	1	2
seneca.de_consolatione_ad_marciam.tess	2	2	4	3
seneca.de_consolatione_ad_polybium.tess	0	0	0	0
seneca.de_constantia.tess	0	1	0	0
seneca.de_ira.tess	7	2	3	0
seneca.de_otio.tess	0	0	0	0
seneca.de_providentia.tess	0	0	0	0
seneca.de_tranquillitate_animi.tess	0	0	0	0
seneca.de_vita_beata.tess	0	0	0	0
seneca.hercules_furens.tess	2	0	0	0
seneca.hercules_oetaeus.tess	4	5	0	0
seneca.medea.tess	0	2	0	0
seneca.octavia.tess	1	0	0	0
seneca.oedipus.tess	0	0	0	0
seneca.phaedra.tess	1	0	0	0
seneca.phoenissae.tess	1	2	0	0
seneca.thyestes.tess	1	0	0	0
seneca.troades.tess	2	1	0	0
seneca_the_elder.controversiae.part.1.tess	61	6	13	2
seneca_the_elder.controversiae.part.10.tess	29	1	10	3
seneca_the_elder.controversiae.part.2.tess	46	3	18	1
seneca_the_elder.controversiae.part.7.tess	52	10	15	1
seneca_the_elder.controversiae.part.8.tess	23	9	9	17
seneca_the_elder.excerpta_controversiae.tess	84	9	39	8
seneca_the_elder.fragmenta.tess	1	0	0	0
seneca_the_elder.suasoriae.tess	0	0	2	0
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.1.tess	12	5	5	2
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.2.tess	6	2	0	0
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.3.tess	3	1	5	3
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.4.tess	3	4	3	3
silius_italicus.punica.part.1.tess	2	0	0	0
silius_italicus.punica.part.10.tess	1	0	0	0
silius_italicus.punica.part.11.tess	1	2	0	0
silius_italicus.punica.part.12.tess	3	0	0	0
silius_italicus.punica.part.13.tess	1	2	0	0
silius_italicus.punica.part.14.tess	2	0	0	0
silius_italicus.punica.part.15.tess	2	1	0	0
silius_italicus.punica.part.16.tess	6	1	0	0
silius_italicus.punica.part.17.tess	0	1	0	0
silius_italicus.punica.part.2.tess	1	1	0	0
silius_italicus.punica.part.3.tess	4	0	0	0
silius_italicus.punica.part.4.tess	4	0	0	0
silius_italicus.punica.part.5.tess	2	2	0	0
silius_italicus.punica.part.6.tess	1	1	0	0
silius_italicus.punica.part.7.tess	0	1	0	0
silius_italicus.punica.part.8.tess	1	0	0	0
silius_italicus.punica.part.9.tess	2	0	0	0
statius.achilleid.tess	6	8	0	0
statius.silvae.part.1.tess	7	3	0	0
statius.silvae.part.2.tess	3	0	0	0
statius.silvae.part.3.tess	8	3	1	0
statius.silvae.part.4.tess	3	0	0	0
statius.silvae.part.5.tess	7	1	0	0
statius.thebaid.part.1.tess	3	2	0	0
statius.thebaid.part.10.tess	8	2	0	0
statius.thebaid.part.11.tess	10	7	0	0
statius.thebaid.part.12.tess	4	2	0	0
statius.thebaid.part.2.tess	3	1	0	0
statius.thebaid.part.3.tess	12	2	0	1
statius.thebaid.part.4.tess	5	3	0	0
statius.thebaid.part.5.tess	7	3	0	0
statius.thebaid.part.6.tess	5	2	0	0
statius.thebaid.part.7.tess	13	4	0	0
statius.thebaid.part.8.tess	1	3	0	0
statius.thebaid.part.9.tess	4	7	0	0
suetonius.de_vita_caesarum.part.1.julius.tess	2	3	1	0
suetonius.de_vita_caesarum.part.10.vespasian.tess	0	0	2	0
suetonius.de_vita_caesarum.part.11.titus.tess	2	0	0	1
suetonius.de_vita_caesarum.part.12.domitian.tess	1	0	0	0
suetonius.de_vita_caesarum.part.2.augustus.tess	8	0	1	3
suetonius.de_vita_caesarum.part.3.tiberius.tess	1	3	2	0
suetonius.de_vita_caesarum.part.4.caligula.tess	2	0	3	4
suetonius.de_vita_caesarum.part.5.claudius.tess	2	1	0	0
suetonius.de_vita_caesarum.part.6.nero.tess	1	2	1	0
suetonius.de_vita_caesarum.part.7.galba.tess	3	0	0	0
suetonius.de_vita_caesarum.part.8.otho.tess	2	0	0	0
suetonius.de_vita_caesarum.part.9.vitellius.tess	1	1	2	1
tacitus.agricola.tess	1	1	0	2
tacitus.annales.part.1.tess	3	2	6	2
tacitus.annales.part.11.tess	0	1	1	0
tacitus.annales.part.12.tess	1	2	2	3
tacitus.annales.part.13.tess	0	1	1	1
tacitus.annales.part.14.tess	0	0	0	0
tacitus.annales.part.15.tess	0	1	1	1
tacitus.annales.part.16.tess	2	0	0	3
tacitus.annales.part.2.tess	1	1	3	2
tacitus.annales.part.3.tess	0	1	2	1
tacitus.annales.part.4.tess	4	3	3	1
tacitus.annales.part.5.tess	0	1	1	0
tacitus.annales.part.6.tess	3	2	1	1
tacitus.de_origine_et_situ_germanorum_liber.tess	2	1	1	0
tacitus.dialogus_de_oratoribus.tess	0	0	1	0
tacitus.historiae.part.1.tess	1	1	1	2
tacitus.historiae.part.2.tess	2	1	1	0
tacitus.historiae.part.3.tess	0	0	2	0
tacitus.historiae.part.4.tess	2	0	1	0
tacitus.historiae.part.5.tess	0	0	0	0
terence.adelphi.tess	27	3	2	0
terence.andria.tess	22	0	3	1
terence.eunuchus.tess	5	6	0	1
terence.heautontimorumenos.tess	20	3	7	4
terence.hecyra.tess	14	9	1	3
terence.phormio.tess	12	3	5	1
tertullian.apologeticum.tess	2	1	6	0
tertullian.de_spectaculis.tess	0	0	2	0
tibullus.elegies.tess	8	4	2	3
valerius_flaccus.argonautica.part.1.tess	12	2	0	1
valerius_flaccus.argonautica.part.2.tess	9	2	0	0
valerius_flaccus.argonautica.part.3.tess	5	0	0	0
valerius_flaccus.argonautica.part.4.tess	9	0	0	0
valerius_flaccus.argonautica.part.5.tess	6	1	1	0
valerius_flaccus.argonautica.part.6.tess	7	1	0	0
valerius_flaccus.argonautica.part.7.tess	6	5	0	1
valerius_flaccus.argonautica.part.8.tess	5	1	0	0
valerius_maximus.facta_et_dicta_memorabilia.part.1.tess	2	1	4	1
valerius_maximus.facta_et_dicta_memorabilia.part.2.tess	4	1	1	1
valerius_maximus.facta_et_dicta_memorabilia.part.3.tess	1	0	4	1
valerius_maximus.facta_et_dicta_memorabilia.part.4.tess	0	3	1	2
valerius_maximus.facta_et_dicta_memorabilia.part.5.tess	7	3	7	2
valerius_maximus.facta_et_dicta_memorabilia.part.6.tess	3	1	5	0
valerius_maximus.facta_et_dicta_memorabilia.part.7.tess	4	1	2	0
valerius_maximus.facta_et_dicta_memorabilia.part.8.tess	3	2	2	2
valerius_maximus.facta_et_dicta_memorabilia.part.9.tess	4	1	0	1
vergil.aeneid.part.1.tess	6	1	2	0
vergil.aeneid.part.10.tess	10	4	2	0
vergil.aeneid.part.11.tess	8	1	1	0
vergil.aeneid.part.12.tess	9	2	0	1
vergil.aeneid.part.2.tess	9	0	0	0
vergil.aeneid.part.3.tess	14	1	0	0
vergil.aeneid.part.4.tess	3	0	0	0
vergil.aeneid.part.5.tess	13	1	0	0
vergil.aeneid.part.6.tess	9	2	1	0
vergil.aeneid.part.7.tess	16	2	4	2
vergil.aeneid.part.8.tess	12	2	2	1
vergil.aeneid.part.9.tess	6	1	2	0
vergil.eclogues.tess	2	5	0	0
vergil.georgics.part.1.tess	4	1	0	0
vergil.georgics.part.2.tess	3	0	0	0
vergil.georgics.part.3.tess	0	0	0	0
vergil.georgics.part.4.tess	2	5	0	0
vitruvius.de_architectura.part.1.tess	0	0	0	0
vitruvius.de_architectura.part.10.tess	0	0	2	0
vitruvius.de_architectura.part.2.tess	0	0	0	0
vitruvius.de_architectura.part.3.tess	0	0	0	0
vitruvius.de_architectura.part.4.tess	0	0	1	0
vitruvius.de_architectura.part.5.tess	0	0	0	0
vitruvius.de_architectura.part.6.tess	0	0	0	0
vitruvius.de_architectura.part.7.tess	0	0	0	0
vitruvius.de_architectura.part.8.tess	0	0	1	0
vitruvius.de_architectura.part.9.tess	0	0	0	0
