	pater	mater	filius	filia
cicero.de_finibus_bonorum_et_malorum.part.3.tess	0	0	0	0
cicero.de_finibus_bonorum_et_malorum.part.4.tess	0	0	0	0
cicero.de_finibus_bonorum_et_malorum.part.5.tess	0	0	1	0
cicero.de_haruspicum_responso.tess	1	1	0	0
cicero.de_imperio_cn_pompei.tess	0	0	0	0
cicero.de_inventione.part.1.tess	0	3	0	0
cicero.de_inventione.part.2.tess	4	1	4	0
cicero.de_lege_agraria_contra_rullum.tess	0	0	1	0
cicero.de_natura_deorum.part.1.tess	2	0	1	0
cicero.de_natura_deorum.part.2.tess	2	1	0	0
cicero.de_natura_deorum.part.3.tess	7	1	4	3
cicero.de_officiis.part.1.tess	1	0	6	0
cicero.de_officiis.part.2.tess	0	0	0	0
cicero.de_officiis.part.3.tess	3	0	3	0
cicero.de_optimo_genere_oratorum.tess	0	0	0	0
cicero.de_oratore.part.1.tess	6	0	7	0
cicero.de_oratore.part.2.tess	9	6	4	0
cicero.de_oratore.part.3.tess	2	1	1	1
cicero.de_partitione_oratoria.tess	3	0	0	0
cicero.de_provinciis_consularibus.tess	1	0	0	0
cicero.de_republica.tess	7	2	5	3
cicero.de_senectute.tess	1	0	1	0
cicero.divinatio_in_c_verrem.part.1.tess	0	0	0	0
cicero.divinatio_in_c_verrem.part.2.tess	4	4	4	3
cicero.divinatio_in_c_verrem.part.3.tess	5	0	5	0
cicero.divinatio_in_c_verrem.part.4.tess	2	0	5	0
cicero.divinatio_in_c_verrem.part.5.tess	0	0	4	0
cicero.divinatio_in_c_verrem.part.6.tess	4	2	3	0
cicero.divinatio_in_q_caecilium.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.1.ad_lentulum.tess	0	0	1	1
cicero.epistulae_ad_familiares.part.10.ad_plancum_et_ceteros.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.11.at_brutum_et_ceteros.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.12.ad_cassium_et_ceteros.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.13.ad_memmium_et_ceteros.tess	0	0	1	1
cicero.epistulae_ad_familiares.part.14.ad_terentiam_uxorem.tess	1	0	1	0
cicero.epistulae_ad_familiares.part.15.ad_senatum_et_ceteros.tess	1	0	0	0
cicero.epistulae_ad_familiares.part.16.ad_tironem.tess	1	0	1	0
cicero.epistulae_ad_familiares.part.2.ad_curionem_et_ceteros.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.3.ad_claudium_pulchrum.tess	0	0	2	0
cicero.epistulae_ad_familiares.part.4.ad_sulpicium_et_ceteros.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.5.ad_metellum_et_ceteros.tess	0	0	0	0
cicero.epistulae_ad_familiares.part.6.ad_torquatum_et_ceteros.tess	0	0	2	0
cicero.epistulae_ad_familiares.part.7.ad_marium_et_ceteros.tess	0	0	1	0
cicero.epistulae_ad_familiares.part.8.caeli_epistulae_ad_ciceronem.tess	0	0	2	0
cicero.epistulae_ad_familiares.part.9.ad_varronem_et_ceteros.tess	1	1	0	0
cicero.in_catilinam.tess	1	0	1	1
cicero.in_l_pisonem.tess	3	1	0	1
cicero.in_vatinium.tess	0	0	0	0
cicero.letters_to_atticus.part.1.tess	2	1	3	0
cicero.letters_to_atticus.part.10.tess	2	0	2	0
cicero.letters_to_atticus.part.11.tess	0	0	3	1
cicero.letters_to_atticus.part.12.tess	3	0	2	0
cicero.letters_to_atticus.part.13.tess	3	0	2	0
cicero.letters_to_atticus.part.14.tess	1	0	4	0
cicero.letters_to_atticus.part.15.tess	4	0	2	1
cicero.letters_to_atticus.part.16.tess	1	0	2	1
cicero.letters_to_atticus.part.2.tess	0	0	4	0
cicero.letters_to_atticus.part.3.tess	0	0	0	0
cicero.letters_to_atticus.part.4.tess	0	0	0	1
cicero.letters_to_atticus.part.5.tess	0	0	2	1
cicero.letters_to_atticus.part.6.tess	2	0	3	0
cicero.letters_to_atticus.part.7.tess	0	0	0	0
cicero.letters_to_atticus.part.8.tess	0	0	0	0
cicero.letters_to_atticus.part.9.tess	0	1	4	1
cicero.letters_to_brutus.tess	2	1	4	0
cicero.letters_to_quintus.tess	2	1	3	0
cicero.lucullus.tess	0	2	0	0
cicero.orator.tess	1	0	0	0
cicero.paradoxa_stoicorum_ad_m_brutum.tess	0	1	0	0
cicero.philippicae.part.1.tess	0	0	1	0
cicero.philippicae.part.10.tess	0	0	2	0
cicero.philippicae.part.11.tess	0	0	0	0
cicero.philippicae.part.12.tess	0	0	1	0
cicero.philippicae.part.13.tess	2	0	5	0
cicero.philippicae.part.14.tess	0	0	0	0
cicero.philippicae.part.2.tess	2	1	3	0
cicero.philippicae.part.3.tess	4	1	0	1
cicero.philippicae.part.4.tess	0	0	0	0
cicero.philippicae.part.5.tess	0	0	4	0
cicero.philippicae.part.6.tess	0	0	0	0
cicero.philippicae.part.7.tess	0	0	0	0
cicero.philippicae.part.8.tess	1	0	0	0
cicero.philippicae.part.9.tess	0	0	1	0
cicero.post_reditum_in_senatu.tess	0	0	2	0
cicero.pro_a_caecina.tess	3	0	3	0
cicero.pro_a_cluentio.tess	6	17	8	2
cicero.pro_archia.tess	0	0	0	0
cicero.pro_balbo.tess	3	0	1	0
cicero.pro_c_rabirio.tess	1	0	0	0
cicero.pro_c_rabirio_postumo.tess	1	0	3	0
cicero.pro_fonteio.tess	1	0	0	0
cicero.pro_l_flacco.tess	2	2	4	1
