	mode
cicero.divinatio_in_c_verrem.part.5.tess	prose
cicero.divinatio_in_c_verrem.part.6.tess	prose
cicero.divinatio_in_q_caecilium.tess	prose
cicero.epistulae_ad_familiares.part.1.ad_lentulum.tess	prose
cicero.epistulae_ad_familiares.part.10.ad_plancum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.11.at_brutum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.12.ad_cassium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.13.ad_memmium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.14.ad_terentiam_uxorem.tess	prose
cicero.epistulae_ad_familiares.part.15.ad_senatum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.16.ad_tironem.tess	prose
cicero.epistulae_ad_familiares.part.2.ad_curionem_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.3.ad_claudium_pulchrum.tess	prose
cicero.epistulae_ad_familiares.part.4.ad_sulpicium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.5.ad_metellum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.6.ad_torquatum_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.7.ad_marium_et_ceteros.tess	prose
cicero.epistulae_ad_familiares.part.8.caeli_epistulae_ad_ciceronem.tess	prose
cicero.epistulae_ad_familiares.part.9.ad_varronem_et_ceteros.tess	prose
cicero.in_catilinam.tess	prose
cicero.in_l_pisonem.tess	prose
cicero.in_vatinium.tess	prose
cicero.letters_to_atticus.part.1.tess	prose
cicero.letters_to_atticus.part.10.tess	prose
cicero.letters_to_atticus.part.11.tess	prose
cicero.letters_to_atticus.part.12.tess	prose
cicero.letters_to_atticus.part.13.tess	prose
cicero.letters_to_atticus.part.14.tess	prose
cicero.letters_to_atticus.part.15.tess	prose
cicero.letters_to_atticus.part.16.tess	prose
cicero.letters_to_atticus.part.2.tess	prose
cicero.letters_to_atticus.part.3.tess	prose
cicero.letters_to_atticus.part.4.tess	prose
cicero.letters_to_atticus.part.5.tess	prose
cicero.letters_to_atticus.part.6.tess	prose
cicero.letters_to_atticus.part.7.tess	prose
cicero.letters_to_atticus.part.8.tess	prose
cicero.letters_to_atticus.part.9.tess	prose
cicero.letters_to_brutus.tess	prose
cicero.letters_to_quintus.tess	prose
cicero.lucullus.tess	prose
cicero.orator.tess	prose
cicero.paradoxa_stoicorum_ad_m_brutum.tess	prose
cicero.philippicae.part.1.tess	prose
cicero.philippicae.part.10.tess	prose
cicero.philippicae.part.11.tess	prose
cicero.philippicae.part.12.tess	prose
cicero.philippicae.part.13.tess	prose
cicero.philippicae.part.14.tess	prose
cicero.philippicae.part.2.tess	prose
cicero.philippicae.part.3.tess	prose
cicero.philippicae.part.4.tess	prose
cicero.philippicae.part.5.tess	prose
cicero.philippicae.part.6.tess	prose
cicero.philippicae.part.7.tess	prose
cicero.philippicae.part.8.tess	prose
cicero.philippicae.part.9.tess	prose
cicero.post_reditum_in_senatu.tess	prose
cicero.pro_a_caecina.tess	prose
cicero.pro_a_cluentio.tess	prose
cicero.pro_archia.tess	prose
cicero.pro_balbo.tess	prose
cicero.pro_c_rabirio.tess	prose
cicero.pro_c_rabirio_postumo.tess	prose
cicero.pro_fonteio.tess	prose
cicero.pro_l_flacco.tess	prose
cicero.pro_ligario.tess	prose
cicero.pro_m_caelio.tess	prose
cicero.pro_marcello.tess	prose
cicero.pro_milone.tess	prose
cicero.pro_murena.tess	prose
cicero.pro_plancio.tess	prose
cicero.pro_publio_quinctio.tess	prose
cicero.pro_q_roscio_comoedo.tess	prose
cicero.pro_rege_deiotaro.tess	prose
cicero.pro_s_roscio.tess	prose
cicero.pro_scauro.tess	prose
cicero.pro_sestio.tess	prose
cicero.pro_sulla.tess	prose
cicero.pro_tullio.tess	prose
cicero.timaeus.tess	prose
cicero.topica.tess	prose
cicero.tusculanae_disputationes.part.1.tess	prose
cicero.tusculanae_disputationes.part.2.tess	prose
cicero.tusculanae_disputationes.part.3.tess	prose
cicero.tusculanae_disputationes.part.4.tess	prose
cicero.tusculanae_disputationes.part.5.tess	prose
claudian.carmina_minora.tess	verse
claudian.de_bello_gildonico.tess	verse
claudian.de_bello_gothico.tess	verse
claudian.de_consulatu_stilichonis.part.1.tess	verse
claudian.de_consulatu_stilichonis.part.2.tess	verse
claudian.de_consulatu_stilichonis.part.3.tess	verse
claudian.de_raptu_proserpinae.part.1.tess	
claudian.de_raptu_proserpinae.part.2.tess	
claudian.de_raptu_proserpinae.part.3.tess	
claudian.epithalamium_de_nuptiis_honorii_augusti.tess	verse
claudian.in_consulatum_olybrii_et_probini.tess	verse
claudian.in_eutropium.part.1.tess	verse
claudian.in_eutropium.part.2.tess	verse
claudian.in_rufinum.part.1.tess	verse
claudian.in_rufinum.part.2.tess	verse
claudian.panegyricus_de_quarto_consulatu_honorii_augusti.tess	verse
claudian.panegyricus_de_sexto_consulatu_honorii_augusti.tess	verse
claudian.panegyricus_de_tertio_consulatu_honorii_augusti.tess	verse
claudian.panegyricus_dictus_manlio_theodoro_consuli.tess	verse
columella.de_re_rustica.part.1.tess	prose
columella.de_re_rustica.part.2.tess	prose
columella.de_re_rustica.part.3.tess	prose
columella.de_re_rustica.part.4.tess	prose
columella.de_re_rustica.part.5.tess	prose
columella.de_re_rustica.part.6.tess	prose
columella.de_re_rustica.part.7.tess	prose
columella.de_re_rustica.part.8.tess	prose
columella.de_re_rustica.part.9.tess	prose
corippus.johannis.part.1.tess	verse
corippus.johannis.part.2.tess	verse
corippus.johannis.part.3.tess	verse
corippus.johannis.part.4.tess	verse
corippus.johannis.part.5.tess	verse
corippus.johannis.part.6.tess	verse
corippus.johannis.part.7.tess	verse
corippus.johannis.part.8.tess	verse
curtius_rufus.historiae_alexandri_magni.part.10.tess	prose
curtius_rufus.historiae_alexandri_magni.part.3.tess	prose
curtius_rufus.historiae_alexandri_magni.part.4.tess	prose
curtius_rufus.historiae_alexandri_magni.part.5.tess	prose
curtius_rufus.historiae_alexandri_magni.part.6.tess	prose
curtius_rufus.historiae_alexandri_magni.part.7.tess	prose
curtius_rufus.historiae_alexandri_magni.part.8.tess	prose
curtius_rufus.historiae_alexandri_magni.part.9.tess	prose
dracontius.de_laudibus_dei.part.1.tess	verse
dracontius.de_laudibus_dei.part.2.tess	verse
dracontius.de_laudibus_dei.part.3.tess	verse
dracontius.orestes.tess	verse
dracontius.romulea.part.1.tess	verse
dracontius.romulea.part.10.tess	verse
dracontius.romulea.part.2.tess	verse
dracontius.romulea.part.3.tess	verse
dracontius.romulea.part.4.tess	verse
dracontius.romulea.part.5.tess	verse
dracontius.romulea.part.6.tess	verse
dracontius.romulea.part.7.tess	verse
dracontius.romulea.part.8.tess	verse
dracontius.romulea.part.9.tess	verse
dracontius.romulea.part.fragments.tess	verse
dracontius.satisfactio.tess	verse
ennius.annales.tess	verse
ennodius.opera.tess	verse
eutropius.brevarium.tess	prose
florus.epitome_bellorum_omnium_annorum.tess	prose
gellius.attic_nights.part.1.tess	prose
gellius.attic_nights.part.10.tess	prose
gellius.attic_nights.part.11.tess	prose
gellius.attic_nights.part.12.tess	prose
gellius.attic_nights.part.13.tess	prose
gellius.attic_nights.part.14.tess	prose
gellius.attic_nights.part.15.tess	prose
gellius.attic_nights.part.16.tess	prose
gellius.attic_nights.part.17.tess	prose
gellius.attic_nights.part.18.tess	prose
gellius.attic_nights.part.19.tess	prose
gellius.attic_nights.part.2.tess	prose
gellius.attic_nights.part.20.tess	prose
gellius.attic_nights.part.3.tess	prose
gellius.attic_nights.part.4.tess	prose
gellius.attic_nights.part.5.tess	prose
gellius.attic_nights.part.6.tess	prose
gellius.attic_nights.part.7.tess	prose
gellius.attic_nights.part.8.tess	prose
gellius.attic_nights.part.9.tess	prose
gellius.attic_nights.part.pr.tess	prose
glass.washingtonii_vita.tess	prose
horace.ars_poetica.tess	verse
horace.carmen_saeculare.tess	verse
horace.epistles.tess	verse
horace.epodes.tess	verse
horace.odes.part.1.tess	verse
horace.odes.part.2.tess	verse
horace.odes.part.3.tess	verse
horace.odes.part.4.tess	verse
horace.satires.part.1.tess	verse
horace.satires.part.2.tess	verse
italicus.ilias_latina.tess	verse
jerome.epistulae.tess	prose
jerome.vulgate.part.1.genesis.tess	prose
jerome.vulgate.part.10.2_samuel.tess	prose
jerome.vulgate.part.11.1_kings.tess	prose
jerome.vulgate.part.12.1_chronicles.tess	prose
jerome.vulgate.part.13.2_kings.tess	prose
jerome.vulgate.part.14.2_chronicles.tess	prose
jerome.vulgate.part.15.ezra.tess	prose
jerome.vulgate.part.16.nehemiah.tess	prose
jerome.vulgate.part.17.tobias.tess	prose
jerome.vulgate.part.18.judith.tess	prose
jerome.vulgate.part.19.esther.tess	prose
jerome.vulgate.part.2.exodus.tess	prose
jerome.vulgate.part.20.job.tess	prose
jerome.vulgate.part.21.psalms.tess	prose
jerome.vulgate.part.21a.old_latin_psalms.tess	prose
jerome.vulgate.part.21b.psalm.tess	prose
jerome.vulgate.part.22.proverbs.tess	prose
jerome.vulgate.part.23.ecclesiastes.tess	prose
jerome.vulgate.part.24.song_of_songs.tess	prose
jerome.vulgate.part.25.wisdom.tess	prose
jerome.vulgate.part.26.sirach.tess	prose
jerome.vulgate.part.27.isaiah.tess	prose
jerome.vulgate.part.28.jeremiah.tess	prose
jerome.vulgate.part.29.lamentations.tess	prose
jerome.vulgate.part.3.leviticus.tess	prose
jerome.vulgate.part.30.baruch.tess	prose
jerome.vulgate.part.31.ezekiel.tess	prose
jerome.vulgate.part.32.daniel.tess	prose
jerome.vulgate.part.33.hosea.tess	prose
jerome.vulgate.part.34.joel.tess	prose
jerome.vulgate.part.35.amos.tess	prose
jerome.vulgate.part.36.obadiah.tess	prose
jerome.vulgate.part.37.jonah.tess	prose
jerome.vulgate.part.38.micah.tess	prose
jerome.vulgate.part.39.nahum.tess	prose
jerome.vulgate.part.4.numbers.tess	prose
jerome.vulgate.part.40.habbakuk.tess	prose
jerome.vulgate.part.41.zephoniah.tess	prose
jerome.vulgate.part.42.haggaiah.tess	prose
jerome.vulgate.part.43.zechariah.tess	prose
jerome.vulgate.part.44.malachi.tess	prose
jerome.vulgate.part.45.1_maccabees.tess	prose
jerome.vulgate.part.46.2_maccabees.tess	prose
jerome.vulgate.part.47.matthew.tess	prose
jerome.vulgate.part.48.mark.tess	prose
jerome.vulgate.part.49.luke.tess	prose
jerome.vulgate.part.5.deuteronomy.tess	prose
jerome.vulgate.part.50.john.tess	prose
jerome.vulgate.part.51.acts.tess	prose
jerome.vulgate.part.52.romans.tess	prose
jerome.vulgate.part.53.1_corinthians.tess	prose
jerome.vulgate.part.54.2_corinthians.tess	prose
jerome.vulgate.part.55.galatians.tess	prose
jerome.vulgate.part.56.ephesians.tess	prose
jerome.vulgate.part.57.philippians.tess	prose
jerome.vulgate.part.58.colossians.tess	prose
jerome.vulgate.part.59.1_thessalonians.tess	prose
jerome.vulgate.part.6.joshua.tess	prose
jerome.vulgate.part.60.2_thessalonians.tess	prose
jerome.vulgate.part.61.1_timothy.tess	prose
jerome.vulgate.part.62.2_timothy.tess	prose
jerome.vulgate.part.63.titus.tess	prose
jerome.vulgate.part.64.philemon.tess	prose
jerome.vulgate.part.65.hebrews.tess	prose
jerome.vulgate.part.66.james.tess	prose
jerome.vulgate.part.67.1_peter.tess	prose
jerome.vulgate.part.68.2_peter.tess	prose
jerome.vulgate.part.69.1_john.tess	prose
jerome.vulgate.part.7.judges.tess	prose
jerome.vulgate.part.70.2_john.tess	prose
jerome.vulgate.part.71.3_john.tess	prose
jerome.vulgate.part.72.jude.tess	prose
jerome.vulgate.part.73.apocalypse.tess	prose
jerome.vulgate.part.73a.epistle_of_paul_to_the_laodicians.tess	prose
jerome.vulgate.part.74.1_esdras.tess	prose
jerome.vulgate.part.75.2_esdras.tess	prose
jerome.vulgate.part.76.prayer_of_manasseh.tess	prose
jerome.vulgate.part.8.ruth.tess	prose
jerome.vulgate.part.9.1_samuel.tess	prose
juvenal.satires.tess	verse
juvencus.historia_evangelica.part.1.tess	verse
juvencus.historia_evangelica.part.2.tess	verse
juvencus.historia_evangelica.part.3.tess	verse
juvencus.historia_evangelica.part.4.tess	verse
livy.ab_urbe_condita.part.1.books_1-10.tess	prose
livy.ab_urbe_condita.part.2.books_21-30.tess	prose
livy.ab_urbe_condita.part.3.books_31-40.tess	prose
livy.ab_urbe_condita.part.4.books_41-45.tess	prose
lucan.bellum_civile.part.1.tess	verse
lucan.bellum_civile.part.10.tess	verse
lucan.bellum_civile.part.2.tess	verse
lucan.bellum_civile.part.3.tess	verse
lucan.bellum_civile.part.4.tess	verse
lucan.bellum_civile.part.5.tess	verse
lucan.bellum_civile.part.6.tess	verse
lucan.bellum_civile.part.7.tess	verse
lucan.bellum_civile.part.8.tess	verse
lucan.bellum_civile.part.9.tess	verse
lucretius.de_rerum_natura.part.1.tess	verse
lucretius.de_rerum_natura.part.2.tess	verse
lucretius.de_rerum_natura.part.3.tess	verse
lucretius.de_rerum_natura.part.4.tess	verse
lucretius.de_rerum_natura.part.5.tess	verse
lucretius.de_rerum_natura.part.6.tess	verse
macrobius.fragment.tess	prose
macrobius.saturnalia.part.1.tess	prose
macrobius.saturnalia.part.2.tess	prose
macrobius.saturnalia.part.3.tess	prose
macrobius.saturnalia.part.4.tess	prose
macrobius.saturnalia.part.5.tess	prose
macrobius.saturnalia.part.6.tess	prose
macrobius.saturnalia.part.7.tess	prose
manilius.astronomicon.part.1.tess	verse
manilius.astronomicon.part.2.tess	verse
manilius.astronomicon.part.3.tess	verse
manilius.astronomicon.part.4.tess	verse
manilius.astronomicon.part.5.tess	verse
marcus_mincuius_felix.octavius.tess	prose
martial.epigrams.part.1.tess	verse
martial.epigrams.part.10.tess	verse
martial.epigrams.part.11.tess	verse
martial.epigrams.part.12.tess	verse
martial.epigrams.part.13.tess	verse
martial.epigrams.part.14.tess	verse
martial.epigrams.part.2.tess	verse
martial.epigrams.part.3.tess	verse
martial.epigrams.part.4.tess	verse
martial.epigrams.part.5.tess	verse
martial.epigrams.part.6.tess	verse
martial.epigrams.part.7.tess	verse
martial.epigrams.part.8.tess	verse
martial.epigrams.part.9.tess	verse
nepos.vitae.tess	prose
ovid.amores.part.1.tess	verse
ovid.amores.part.2.tess	verse
ovid.amores.part.3.tess	verse
ovid.ars_amatoria.part.1.tess	verse
ovid.ars_amatoria.part.2.tess	verse
ovid.ars_amatoria.part.3.tess	verse
ovid.ex_ponto.part.1.tess	verse
ovid.ex_ponto.part.2.tess	verse
ovid.ex_ponto.part.3.tess	verse
ovid.ex_ponto.part.4.tess	verse
ovid.fasti.part.1.tess	verse
ovid.fasti.part.2.tess	verse
ovid.fasti.part.3.tess	verse
ovid.fasti.part.4.tess	verse
ovid.fasti.part.5.tess	verse
ovid.fasti.part.6.tess	verse
ovid.heroides.part.1.1-15.tess	verse
ovid.heroides.part.2.16-21.tess	verse
ovid.ibis.tess	verse
ovid.medicamina_faciei_femineae.tess	verse
ovid.metamorphoses.part.1.tess	verse
ovid.metamorphoses.part.10.tess	verse
ovid.metamorphoses.part.11.tess	verse
ovid.metamorphoses.part.12.tess	verse
ovid.metamorphoses.part.13.tess	verse
ovid.metamorphoses.part.14.tess	verse
ovid.metamorphoses.part.15.tess	verse
ovid.metamorphoses.part.2.tess	verse
ovid.metamorphoses.part.3.tess	verse
ovid.metamorphoses.part.4.tess	verse
ovid.metamorphoses.part.5.tess	verse
ovid.metamorphoses.part.6.tess	verse
ovid.metamorphoses.part.7.tess	verse
ovid.metamorphoses.part.8.tess	verse
ovid.metamorphoses.part.9.tess	verse
ovid.remedia_amoris.tess	verse
ovid.tristia.part.1.tess	verse
ovid.tristia.part.2.tess	verse
ovid.tristia.part.3.tess	verse
ovid.tristia.part.4.tess	verse
ovid.tristia.part.5.tess	verse
paulus_diaconus.carmina.tess	verse
persius.satires.tess	verse
petronius.satyricon.tess	mixed
plautus.amphitruo.tess	verse
plautus.asinaria.tess	verse
plautus.aulularia.tess	verse
plautus.bacchides.tess	verse
plautus.captivi.tess	verse
plautus.casina.tess	verse
plautus.cistellaria.tess	verse
plautus.curculio.tess	verse
plautus.epidicus.tess	verse
plautus.menaechmi.tess	verse
plautus.mercator.tess	verse
plautus.miles_gloriosus.tess	verse
plautus.mostellaria.tess	verse
plautus.persa.tess	verse
plautus.poenulus.tess	verse
plautus.pseudolus.tess	verse
plautus.rudens.tess	verse
plautus.stichus.tess	verse
plautus.trinummus.tess	verse
plautus.truculentus.tess	verse
pliny_the_elder.naturalis_historia.part.1.books_1-5.tess	prose
pliny_the_elder.naturalis_historia.part.2.books_6-10.tess	prose
pliny_the_elder.naturalis_historia.part.3.books_11-15.tess	prose
pliny_the_elder.naturalis_historia.part.4.books_16-20.tess	prose
pliny_the_elder.naturalis_historia.part.5.books_21-25.tess	prose
pliny_the_elder.naturalis_historia.part.6.books_26-30.tess	prose
pliny_the_elder.naturalis_historia.part.7.books_31-37.tess	prose
pliny_the_younger.letters.part.1.tess	prose
pliny_the_younger.letters.part.10.tess	prose
pliny_the_younger.letters.part.2.tess	prose
pliny_the_younger.letters.part.3.tess	prose
pliny_the_younger.letters.part.4.tess	prose
pliny_the_younger.letters.part.5.tess	prose
pliny_the_younger.letters.part.6.tess	prose
pliny_the_younger.letters.part.7.tess	prose
pliny_the_younger.letters.part.8.tess	prose
pliny_the_younger.letters.part.9.tess	prose
polignac.antilucretius.tess	verse
polignac.epia.tess	verse
polignac.imitatio.tess	verse
priscian.carmen_in_laudem_Anastasii_imperatoris.part.1.tess	verse
priscian.carmen_in_laudem_Anastasii_imperatoris.part.preface.tess	verse
priscian.carmen_in_laudem_Anastasii_imperatoris.tess	verse
priscian.perihegesis.tess	verse
