	mode
seneca_the_elder.fragmenta.tess	prose
seneca_the_elder.suasoriae.tess	prose
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.1.tess	prose
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.2.tess	prose
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.3.tess	prose
servius_honoratus.in_virgilii_georgicon_libros_commentarius.part.4.tess	prose
silius_italicus.punica.part.1.tess	verse
silius_italicus.punica.part.10.tess	verse
silius_italicus.punica.part.11.tess	verse
silius_italicus.punica.part.12.tess	verse
silius_italicus.punica.part.13.tess	verse
silius_italicus.punica.part.14.tess	verse
silius_italicus.punica.part.15.tess	verse
silius_italicus.punica.part.16.tess	verse
silius_italicus.punica.part.17.tess	verse
silius_italicus.punica.part.2.tess	verse
silius_italicus.punica.part.3.tess	verse
silius_italicus.punica.part.4.tess	verse
silius_italicus.punica.part.5.tess	verse
silius_italicus.punica.part.6.tess	verse
silius_italicus.punica.part.7.tess	verse
silius_italicus.punica.part.8.tess	verse
silius_italicus.punica.part.9.tess	verse
statius.achilleid.tess	verse
statius.silvae.part.1.tess	verse
statius.silvae.part.2.tess	verse
statius.silvae.part.3.tess	verse
statius.silvae.part.4.tess	verse
statius.silvae.part.5.tess	verse
statius.thebaid.part.1.tess	verse
statius.thebaid.part.10.tess	verse
statius.thebaid.part.11.tess	verse
statius.thebaid.part.12.tess	verse
statius.thebaid.part.2.tess	verse
statius.thebaid.part.3.tess	verse
statius.thebaid.part.4.tess	verse
statius.thebaid.part.5.tess	verse
statius.thebaid.part.6.tess	verse
statius.thebaid.part.7.tess	verse
statius.thebaid.part.8.tess	verse
statius.thebaid.part.9.tess	verse
suetonius.de_vita_caesarum.part.1.julius.tess	prose
suetonius.de_vita_caesarum.part.10.vespasian.tess	prose
suetonius.de_vita_caesarum.part.11.titus.tess	prose
suetonius.de_vita_caesarum.part.12.domitian.tess	prose
suetonius.de_vita_caesarum.part.2.augustus.tess	prose
suetonius.de_vita_caesarum.part.3.tiberius.tess	prose
suetonius.de_vita_caesarum.part.4.caligula.tess	prose
suetonius.de_vita_caesarum.part.5.claudius.tess	prose
suetonius.de_vita_caesarum.part.6.nero.tess	prose
suetonius.de_vita_caesarum.part.7.galba.tess	prose
suetonius.de_vita_caesarum.part.8.otho.tess	prose
suetonius.de_vita_caesarum.part.9.vitellius.tess	prose
tacitus.agricola.tess	prose
tacitus.annales.part.1.tess	prose
tacitus.annales.part.11.tess	prose
tacitus.annales.part.12.tess	prose
tacitus.annales.part.13.tess	prose
tacitus.annales.part.14.tess	prose
tacitus.annales.part.15.tess	prose
tacitus.annales.part.16.tess	prose
tacitus.annales.part.2.tess	prose
tacitus.annales.part.3.tess	prose
tacitus.annales.part.4.tess	prose
tacitus.annales.part.5.tess	prose
tacitus.annales.part.6.tess	prose
tacitus.de_origine_et_situ_germanorum_liber.tess	prose
tacitus.dialogus_de_oratoribus.tess	prose
tacitus.historiae.part.1.tess	prose
tacitus.historiae.part.2.tess	prose
tacitus.historiae.part.3.tess	prose
tacitus.historiae.part.4.tess	prose
tacitus.historiae.part.5.tess	prose
terence.adelphi.tess	verse
terence.andria.tess	verse
terence.eunuchus.tess	verse
terence.heautontimorumenos.tess	verse
terence.hecyra.tess	verse
terence.phormio.tess	verse
tertullian.apologeticum.tess	prose
tertullian.de_spectaculis.tess	prose
tibullus.elegies.tess	verse
valerius_flaccus.argonautica.part.1.tess	verse
valerius_flaccus.argonautica.part.2.tess	verse
valerius_flaccus.argonautica.part.3.tess	verse
valerius_flaccus.argonautica.part.4.tess	verse
valerius_flaccus.argonautica.part.5.tess	verse
valerius_flaccus.argonautica.part.6.tess	verse
valerius_flaccus.argonautica.part.7.tess	verse
valerius_flaccus.argonautica.part.8.tess	verse
valerius_maximus.facta_et_dicta_memorabilia.part.1.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.2.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.3.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.4.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.5.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.6.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.7.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.8.tess	prose
valerius_maximus.facta_et_dicta_memorabilia.part.9.tess	prose
vergil.aeneid.part.1.tess	verse
vergil.aeneid.part.10.tess	verse
vergil.aeneid.part.11.tess	verse
vergil.aeneid.part.12.tess	verse
vergil.aeneid.part.2.tess	verse
vergil.aeneid.part.3.tess	verse
vergil.aeneid.part.4.tess	verse
vergil.aeneid.part.5.tess	verse
vergil.aeneid.part.6.tess	verse
vergil.aeneid.part.7.tess	verse
vergil.aeneid.part.8.tess	verse
vergil.aeneid.part.9.tess	verse
vergil.eclogues.tess	verse
vergil.georgics.part.1.tess	verse
vergil.georgics.part.2.tess	verse
vergil.georgics.part.3.tess	verse
vergil.georgics.part.4.tess	verse
vitruvius.de_architectura.part.1.tess	prose
vitruvius.de_architectura.part.10.tess	prose
vitruvius.de_architectura.part.2.tess	prose
vitruvius.de_architectura.part.3.tess	prose
vitruvius.de_architectura.part.4.tess	prose
vitruvius.de_architectura.part.5.tess	prose
vitruvius.de_architectura.part.6.tess	prose
vitruvius.de_architectura.part.7.tess	prose
vitruvius.de_architectura.part.8.tess	prose
vitruvius.de_architectura.part.9.tess	prose
